PhotochemCAD ID,Compound Category,Name,Synonym,CAS,Source,Absorption Wavelength,Absorption epsilon,Absorption coefficient,Quantum Yield,Solvent
F05,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tryptophan,,73-22-3,,278,,,0.12,"phosphate buffer (pH 7, 0.1 M)"
F06,https://photochemcad.com/databases/common-compounds/biomolecules,Adenine,,73-24-5,"Sigma-Aldrich, 104965",261,,,,water (pH 7)
F07,https://photochemcad.com/databases/common-compounds/biomolecules,Guanine,,73-40-5,"Sigma-Aldrich, G11950",243,,,,water
F08,https://photochemcad.com/databases/common-compounds/biomolecules,Cytosine,,71-30-7,,266.75,,,,water
F09,https://photochemcad.com/databases/common-compounds/biomolecules,Thymine,,65-71-4,"Sigma-Aldrich, 131997",263.75,,,,water
F10,https://photochemcad.com/databases/common-compounds/biomolecules,Uracil,,66-22-8,"Sigma-Aldrich, 130788",258.25,,,,water
F11,https://photochemcad.com/databases/common-compounds/biomolecules,2-Amino-4-methylpyrimidine,,108-52-1,"Sigma-Aldrich, A65700",228,,,,ethanol
F12,https://photochemcad.com/databases/common-compounds/biomolecules,"2,4-dihydroxy-6-methylpyrimidine",6-Methyluracil,626-48-2,"Sigma-Aldrich, D115207",259,,,,ethanol
F13,https://photochemcad.com/databases/common-compounds/biomolecules,D-(-)-Salicin,,138-52-3,,212,,,,ethanol
F14,https://photochemcad.com/databases/common-compounds/biomolecules,Riboflavin,Vitamin B2,83-88-5,,263,,,0.3,ethanol
F15,https://photochemcad.com/databases/common-compounds/biomolecules,L-Ascorbic acid,Vitamin C,50-81-7,"Sigma-Aldrich, 255564",265,,,,PBS
F16,https://photochemcad.com/databases/common-compounds/biomolecules,DL-alpha-Tocopherol,Vitamin E,10191-41-0,"Sigma-Aldrich, 258024",206,,,0.14,ethanol
F17,https://photochemcad.com/databases/common-compounds/biomolecules,Vitamin K1,"2-Methyl-3-phytyl-1,4-naphthoquinone, Phylloquinone",84-80-0,"Sigma-Aldrich, V3501",248,,,,ethanol
F18,https://photochemcad.com/databases/common-compounds/biomolecules,Folic acid,Vitamin B9,59-30-3,"Oakwood Chemical, 099511",281,,,0.005,water
F01,https://photochemcad.com/databases/common-compounds/biomolecules,L-Alanine,,56-41-7,"Sigma-Aldrich, A26802",262,,,,methanol
F02,https://photochemcad.com/databases/common-compounds/biomolecules,L-Phenylalanine,,63-91-2,"Sigma-Aldrich, P2126",257.5,,,0.022,water
F03,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tyrosine,,60-18-4,"Sigma-Aldrich, T3754",274.25,,,0.13,"phosphate buffer (pH 7, 0.1 M)"
F04,https://photochemcad.com/databases/common-compounds/biomolecules,L-Histidine,,71-00-1,"Sigma-Aldrich, H8000",211,,,,water
F05,https://photochemcad.com/databases/common-compounds/biomolecules,L-Tryptophan,,73-22-3,,278,,,0.12,"phosphate buffer (pH 7, 0.1 M)"
F06,https://photochemcad.com/databases/common-compounds/biomolecules,Adenine,,73-24-5,"Sigma-Aldrich, 104965",261,,,,water (pH 7)
F07,https://photochemcad.com/databases/common-compounds/biomolecules,Guanine,,73-40-5,"Sigma-Aldrich, G11950",243,,,,water
F08,https://photochemcad.com/databases/common-compounds/biomolecules,Cytosine,,71-30-7,,266.75,,,,water
